price,vol,time
11.67,3233,09:31
11.75,832,09:32
11.7,1036,09:33
11.68,1035,09:34
11.7,458,09:35
11.73,331,09:36
11.71,497,09:37
11.68,942,09:38
11.69,458,09:39
11.76,793,09:40
11.74,307,09:41
11.72,321,09:42
11.71,223,09:43
11.68,551,09:44
11.68,1279,09:45
11.7,1114,09:46
11.7,462,09:47
11.71,182,09:48
11.75,550,09:49
11.77,140,09:50
11.76,410,09:51
11.74,173,09:52
11.71,276,09:53
11.71,97,09:54
11.72,89,09:55
11.73,144,09:56
11.73,125,09:57
11.75,125,09:58
11.74,51,09:59
11.73,504,10:00
11.7,1050,10:01
11.72,378,10:02
11.74,208,10:03
11.72,384,10:04
11.7,511,10:05
11.71,108,10:06
11.73,247,10:07
11.71,351,10:08
11.71,217,10:09
11.72,126,10:10
11.72,98,10:11
11.72,52,10:12
11.73,185,10:13
11.73,436,10:14
11.73,216,10:15
11.72,617,10:16
11.72,169,10:17
11.71,147,10:18
11.71,96,10:19
11.71,67,10:20
11.7,481,10:21
11.69,178,10:22
11.69,302,10:23
11.73,394,10:24
11.7,332,10:25
11.76,1217,10:26
11.76,272,10:27
11.76,43,10:28
11.74,122,10:29
11.73,142,10:30
11.74,79,10:31
11.74,100,10:32
11.73,108,10:33
11.74,162,10:34
11.75,273,10:35
11.75,89,10:36
11.76,87,10:37
11.77,163,10:38
11.78,158,10:39
11.77,72,10:40
11.78,258,10:41
11.77,176,10:42
11.78,307,10:43
11.87,1520,10:44
11.85,556,10:45
11.87,307,10:46
11.89,636,10:47
11.89,597,10:48
11.91,881,10:49
11.94,927,10:50
11.92,1069,10:51
11.89,753,10:52
11.92,735,10:53
11.93,297,10:54
11.91,345,10:55
11.9,470,10:56
11.91,634,10:57
11.96,1475,10:58
12.0,1340,10:59
12.04,1977,11:00
11.99,1649,11:01
11.94,555,11:02
11.99,270,11:03
11.98,656,11:04
11.97,281,11:05
11.98,270,11:06
12.01,767,11:07
12.02,629,11:08
12.03,414,11:09
12.07,1204,11:10
12.07,983,11:11
12.06,595,11:12
12.04,303,11:13
12.03,366,11:14
12.04,359,11:15
12.03,220,11:16
12.05,620,11:17
12.06,762,11:18
12.08,302,11:19
12.05,833,11:20
12.06,344,11:21
12.06,752,11:22
12.05,90,11:23
12.03,458,11:24
12.01,528,11:25
12.0,80,11:26
12.0,302,11:27
12.0,259,11:28
12.03,292,11:29
12.04,467,11:30
12.06,854,13:01
12.05,215,13:02
12.04,121,13:03
12.04,98,13:04
12.04,132,13:05
12.03,262,13:06
12.01,153,13:07
12.01,301,13:08
12.02,10,13:09
12.03,40,13:10
12.03,289,13:11
12.02,68,13:12
12.02,147,13:13
12.02,125,13:14
12.04,302,13:15
12.03,132,13:16
12.04,58,13:17
12.03,93,13:18
12.04,167,13:19
12.04,176,13:20
12.04,182,13:21
12.02,154,13:22
12.02,325,13:23
12.02,252,13:24
12.02,70,13:25
12.02,130,13:26
12.02,56,13:27
12.02,74,13:28
12.02,141,13:29
12.01,63,13:30
12.02,414,13:31
12.04,1056,13:32
12.07,1709,13:33
12.14,2450,13:34
12.14,1615,13:35
12.14,1174,13:36
12.2,3182,13:37
12.2,2066,13:38
12.19,775,13:39
12.17,526,13:40
12.16,514,13:41
12.15,522,13:42
12.15,356,13:43
12.14,244,13:44
12.15,221,13:45
12.15,133,13:46
12.14,248,13:47
12.09,796,13:48
12.11,515,13:49
12.11,191,13:50
12.09,111,13:51
12.11,282,13:52
12.12,471,13:53
12.12,36,13:54
12.12,154,13:55
12.11,218,13:56
12.1,249,13:57
12.09,79,13:58
12.1,163,13:59
12.09,93,14:00
12.1,301,14:01
12.09,108,14:02
12.1,31,14:03
12.09,133,14:04
12.08,105,14:05
12.08,110,14:06
12.06,190,14:07
12.06,104,14:08
12.05,183,14:09
12.06,172,14:10
12.08,276,14:11
12.09,59,14:12
12.08,54,14:13
12.09,93,14:14
12.08,241,14:15
12.1,184,14:16
12.12,337,14:17
12.13,161,14:18
12.14,482,14:19
12.14,91,14:20
12.14,124,14:21
12.14,72,14:22
12.14,120,14:23
12.15,92,14:24
12.16,287,14:25
12.14,147,14:26
12.12,304,14:27
12.11,623,14:28
12.1,164,14:29
12.1,132,14:30
12.11,71,14:31
12.11,309,14:32
12.13,93,14:33
12.14,84,14:34
12.14,457,14:35
12.13,187,14:36
12.13,326,14:37
12.13,723,14:38
12.13,295,14:39
12.13,271,14:40
12.13,277,14:41
12.13,127,14:42
12.13,135,14:43
12.21,3523,14:44
12.22,741,14:45
12.2,1120,14:46
12.19,1361,14:47
12.18,160,14:48
12.17,286,14:49
12.16,694,14:50
12.18,279,14:51
12.18,571,14:52
12.17,515,14:53
12.17,1207,14:54
12.18,662,14:55
12.18,364,14:56
12.18,1827,14:57
12.18,0,14:58
12.18,0,14:59
12.19,940,15:00
