price,vol,time
2.62,4560,09:31
2.62,3705,09:32
2.61,1592,09:33
2.63,3189,09:34
2.64,2597,09:35
2.64,4132,09:36
2.63,1736,09:37
2.64,4492,09:38
2.65,4640,09:39
2.66,4122,09:40
2.65,12877,09:41
2.65,4218,09:42
2.67,4370,09:43
2.66,9731,09:44
2.66,7541,09:45
2.66,2236,09:46
2.66,4994,09:47
2.66,1397,09:48
2.66,2273,09:49
2.65,4756,09:50
2.64,2168,09:51
2.63,3998,09:52
2.63,1067,09:53
2.63,3117,09:54
2.63,763,09:55
2.63,4023,09:56
2.61,5208,09:57
2.6,7896,09:58
2.61,5947,09:59
2.61,1601,10:00
2.62,1250,10:01
2.61,4313,10:02
2.61,541,10:03
2.61,1625,10:04
2.61,746,10:05
2.62,140,10:06
2.62,1424,10:07
2.62,6085,10:08
2.64,772,10:09
2.63,731,10:10
2.64,742,10:11
2.63,1816,10:12
2.62,159,10:13
2.62,922,10:14
2.62,1620,10:15
2.62,718,10:16
2.62,704,10:17
2.63,364,10:18
2.63,103,10:19
2.62,463,10:20
2.62,180,10:21
2.62,1140,10:22
2.61,4047,10:23
2.61,232,10:24
2.61,357,10:25
2.62,1104,10:26
2.62,1463,10:27
2.63,2333,10:28
2.63,1185,10:29
2.62,206,10:30
2.62,5274,10:31
2.62,909,10:32
2.63,4201,10:33
2.63,664,10:34
2.63,531,10:35
2.63,413,10:36
2.63,697,10:37
2.62,460,10:38
2.62,332,10:39
2.62,4855,10:40
2.61,1098,10:41
2.62,289,10:42
2.62,385,10:43
2.61,122,10:44
2.61,165,10:45
2.61,423,10:46
2.61,698,10:47
2.61,1618,10:48
2.61,230,10:49
2.62,274,10:50
2.62,543,10:51
2.61,681,10:52
2.62,740,10:53
2.62,745,10:54
2.62,1094,10:55
2.62,520,10:56
2.63,1270,10:57
2.63,149,10:58
2.63,208,10:59
2.62,882,11:00
2.62,975,11:01
2.62,803,11:02
2.62,933,11:03
2.61,310,11:04
2.61,912,11:05
2.61,741,11:06
2.61,1452,11:07
2.61,11,11:08
2.61,252,11:09
2.61,732,11:10
2.61,7527,11:11
2.61,2242,11:12
2.61,969,11:13
2.61,288,11:14
2.61,731,11:15
2.61,23,11:16
2.61,449,11:17
2.61,656,11:18
2.61,680,11:19
2.61,14,11:20
2.62,134,11:21
2.62,115,11:22
2.62,2524,11:23
2.63,477,11:24
2.62,138,11:25
2.63,25,11:26
2.63,4307,11:27
2.63,1804,11:28
2.63,776,11:29
2.64,957,11:30
2.63,2243,13:01
2.63,425,13:02
2.64,628,13:03
2.64,376,13:04
2.63,6463,13:05
2.62,558,13:06
2.63,247,13:07
2.63,727,13:08
2.62,669,13:09
2.63,1765,13:10
2.63,3458,13:11
2.63,277,13:12
2.64,131,13:13
2.63,128,13:14
2.63,279,13:15
2.63,50,13:16
2.63,1493,13:17
2.62,2564,13:18
2.62,494,13:19
2.63,942,13:20
2.63,1499,13:21
2.63,444,13:22
2.62,59,13:23
2.63,704,13:24
2.63,381,13:25
2.63,482,13:26
2.62,952,13:27
2.62,6,13:28
2.63,348,13:29
2.62,126,13:30
2.62,969,13:31
2.63,401,13:32
2.63,1428,13:33
2.63,963,13:34
2.63,717,13:35
2.63,155,13:36
2.63,939,13:37
2.63,273,13:38
2.63,516,13:39
2.63,1230,13:40
2.62,503,13:41
2.63,1047,13:42
2.63,3449,13:43
2.63,271,13:44
2.62,229,13:45
2.63,156,13:46
2.63,530,13:47
2.62,868,13:48
2.63,86,13:49
2.63,356,13:50
2.63,812,13:51
2.62,21040,13:52
2.62,882,13:53
2.61,1629,13:54
2.62,394,13:55
2.61,424,13:56
2.62,64,13:57
2.61,707,13:58
2.61,363,13:59
2.61,1281,14:00
2.62,394,14:01
2.61,276,14:02
2.61,155,14:03
2.62,281,14:04
2.61,1087,14:05
2.61,883,14:06
2.6,9511,14:07
2.61,1890,14:08
2.6,1674,14:09
2.6,740,14:10
2.61,745,14:11
2.61,231,14:12
2.61,1038,14:13
2.61,1493,14:14
2.61,590,14:15
2.61,865,14:16
2.61,132,14:17
2.62,102,14:18
2.62,0,14:19
2.61,1342,14:20
2.61,1028,14:21
2.61,1392,14:22
2.62,265,14:23
2.62,235,14:24
2.61,345,14:25
2.62,352,14:26
2.61,3923,14:27
2.62,248,14:28
2.61,160,14:29
2.61,572,14:30
2.61,120,14:31
2.62,630,14:32
2.61,1768,14:33
2.62,1026,14:34
2.61,879,14:35
2.62,287,14:36
2.62,326,14:37
2.61,195,14:38
2.61,341,14:39
2.61,400,14:40
2.62,1109,14:41
2.62,641,14:42
2.62,462,14:43
2.61,557,14:44
2.61,1838,14:45
2.62,1452,14:46
2.62,526,14:47
2.61,122,14:48
2.61,568,14:49
2.61,1730,14:50
2.61,875,14:51
2.61,680,14:52
2.62,175,14:53
2.62,788,14:54
2.61,972,14:55
2.62,345,14:56
2.62,5782,14:57
2.62,0,14:58
2.62,0,14:59
2.62,7606,15:00
