price,vol,time
13.51,42666,09:31
13.34,16712,09:32
13.38,10370,09:33
13.22,20560,09:34
13.2,13156,09:35
13.1,17404,09:36
12.99,17077,09:37
13.08,8956,09:38
13.03,10550,09:39
13.14,12068,09:40
13.09,9323,09:41
13.16,3443,09:42
13.22,5034,09:43
13.22,7575,09:44
13.19,4772,09:45
13.14,3775,09:46
13.09,5874,09:47
13.17,3884,09:48
13.17,3829,09:49
13.18,2274,09:50
13.14,3764,09:51
13.16,3401,09:52
13.21,3801,09:53
13.22,2255,09:54
13.24,1745,09:55
13.16,3106,09:56
13.22,954,09:57
13.22,1786,09:58
13.16,3054,09:59
13.13,1743,10:00
13.1,3503,10:01
13.1,5294,10:02
13.13,1383,10:03
13.11,2719,10:04
13.09,2360,10:05
13.11,1747,10:06
13.09,3931,10:07
13.12,1030,10:08
13.13,1070,10:09
13.13,1822,10:10
13.1,3541,10:11
13.03,2989,10:12
13.03,3610,10:13
13.05,1551,10:14
13.03,2448,10:15
13.04,1527,10:16
13.05,2549,10:17
13.08,1489,10:18
13.08,1812,10:19
13.08,2295,10:20
13.08,2013,10:21
13.05,2653,10:22
13.05,1503,10:23
13.08,1691,10:24
13.09,1271,10:25
13.08,2172,10:26
13.1,832,10:27
13.06,2892,10:28
13.02,3154,10:29
13.05,2012,10:30
13.05,1091,10:31
13.09,766,10:32
13.06,1001,10:33
13.08,515,10:34
13.06,1672,10:35
13.04,2124,10:36
13.05,1192,10:37
13.07,832,10:38
13.05,1219,10:39
13.04,1258,10:40
13.04,1411,10:41
13.03,3197,10:42
12.96,12393,10:43
12.99,3126,10:44
12.98,1195,10:45
12.98,3477,10:46
12.97,1681,10:47
12.92,4068,10:48
12.95,3858,10:49
12.99,1407,10:50
12.97,1618,10:51
12.96,1180,10:52
12.96,1173,10:53
12.95,1270,10:54
12.94,1124,10:55
12.95,848,10:56
12.95,1141,10:57
12.96,398,10:58
12.92,2776,10:59
12.86,5872,11:00
12.86,3250,11:01
12.88,1022,11:02
12.88,1595,11:03
12.91,1688,11:04
12.91,1236,11:05
12.88,1772,11:06
12.85,1509,11:07
12.8,5590,11:08
12.79,5506,11:09
12.8,2484,11:10
12.8,1878,11:11
12.76,2371,11:12
12.7,4562,11:13
12.71,2510,11:14
12.72,2251,11:15
12.63,4777,11:16
12.63,8554,11:17
12.66,2977,11:18
12.67,2569,11:19
12.61,3636,11:20
12.59,7674,11:21
12.62,4329,11:22
12.66,2761,11:23
12.63,3075,11:24
12.61,2630,11:25
12.58,6487,11:26
12.56,9271,11:27
12.56,7239,11:28
12.59,2849,11:29
12.66,1180,11:30
12.65,5685,13:01
12.61,1306,13:02
12.62,1111,13:03
12.67,752,13:04
12.66,3185,13:05
12.65,1590,13:06
12.64,1223,13:07
12.63,891,13:08
12.65,831,13:09
12.68,862,13:10
12.68,1349,13:11
12.7,955,13:12
12.72,1954,13:13
12.72,926,13:14
12.75,1526,13:15
12.69,1382,13:16
12.7,1113,13:17
12.72,1160,13:18
12.76,1020,13:19
12.75,1278,13:20
12.76,735,13:21
12.74,1148,13:22
12.74,612,13:23
12.72,1020,13:24
12.73,544,13:25
12.77,647,13:26
12.79,778,13:27
12.84,1145,13:28
12.84,2556,13:29
12.87,952,13:30
12.85,2368,13:31
12.89,699,13:32
12.93,1190,13:33
12.95,2944,13:34
12.93,1914,13:35
12.91,2189,13:36
12.92,748,13:37
12.93,819,13:38
12.96,1428,13:39
12.96,1350,13:40
12.93,1316,13:41
12.92,405,13:42
12.92,1051,13:43
12.88,1481,13:44
12.84,829,13:45
12.84,551,13:46
12.82,659,13:47
12.81,626,13:48
12.84,577,13:49
12.86,583,13:50
12.84,1547,13:51
12.81,593,13:52
12.83,434,13:53
12.82,662,13:54
12.82,345,13:55
12.83,281,13:56
12.87,262,13:57
12.89,683,13:58
12.87,812,13:59
12.88,420,14:00
12.87,535,14:01
12.88,247,14:02
12.9,447,14:03
12.9,1025,14:04
12.95,693,14:05
12.91,2781,14:06
12.89,1159,14:07
12.9,481,14:08
12.89,1436,14:09
12.91,273,14:10
12.88,563,14:11
12.9,183,14:12
12.9,330,14:13
12.93,342,14:14
12.9,732,14:15
12.91,390,14:16
12.93,467,14:17
12.92,391,14:18
12.89,1746,14:19
12.89,447,14:20
12.87,1013,14:21
12.85,611,14:22
12.84,698,14:23
12.86,151,14:24
12.87,267,14:25
12.87,255,14:26
12.89,438,14:27
12.88,275,14:28
12.88,1080,14:29
12.91,309,14:30
12.88,1189,14:31
12.85,1009,14:32
12.84,664,14:33
12.81,882,14:34
12.78,2493,14:35
12.71,2943,14:36
12.7,1876,14:37
12.69,1252,14:38
12.68,1512,14:39
12.74,959,14:40
12.71,3184,14:41
12.69,1237,14:42
12.69,1416,14:43
12.7,932,14:44
12.71,1226,14:45
12.72,696,14:46
12.71,2049,14:47
12.72,686,14:48
12.7,2871,14:49
12.68,3030,14:50
12.64,4769,14:51
12.68,1889,14:52
12.66,2649,14:53
12.66,3067,14:54
12.63,2736,14:55
12.63,3507,14:56
12.62,5356,14:57
12.62,7,14:58
12.62,0,14:59
12.62,3941,15:00
