price,vol,time
6.35,318,09:31
6.36,115,09:32
6.38,250,09:33
6.39,304,09:34
6.38,912,09:35
6.37,199,09:36
6.38,227,09:37
6.35,214,09:38
6.34,263,09:39
6.35,248,09:40
6.33,326,09:41
6.32,562,09:42
6.3,1481,09:43
6.3,258,09:44
6.3,17,09:45
6.3,727,09:46
6.3,244,09:47
6.31,319,09:48
6.31,203,09:49
6.3,91,09:50
6.3,130,09:51
6.31,230,09:52
6.32,223,09:53
6.31,211,09:54
6.31,88,09:55
6.3,194,09:56
6.3,392,09:57
6.3,396,09:58
6.3,127,09:59
6.29,41,10:00
6.3,65,10:01
6.3,68,10:02
6.3,39,10:03
6.29,817,10:04
6.28,480,10:05
6.29,630,10:06
6.3,609,10:07
6.34,944,10:08
6.34,14,10:09
6.35,81,10:10
6.33,779,10:11
6.32,410,10:12
6.33,6,10:13
6.33,20,10:14
6.32,15,10:15
6.31,21,10:16
6.32,123,10:17
6.33,171,10:18
6.31,212,10:19
6.31,21,10:20
6.3,59,10:21
6.3,53,10:22
6.29,5,10:23
6.3,42,10:24
6.3,138,10:25
6.31,72,10:26
6.3,163,10:27
6.3,92,10:28
6.3,202,10:29
6.28,227,10:30
6.28,128,10:31
6.29,323,10:32
6.29,106,10:33
6.29,207,10:34
6.29,73,10:35
6.29,363,10:36
6.28,66,10:37
6.3,31,10:38
6.32,152,10:39
6.32,506,10:40
6.31,32,10:41
6.32,5,10:42
6.36,365,10:43
6.35,256,10:44
6.34,1,10:45
6.34,90,10:46
6.35,66,10:47
6.36,10,10:48
6.37,329,10:49
6.38,370,10:50
6.39,276,10:51
6.41,634,10:52
6.39,374,10:53
6.38,14,10:54
6.38,188,10:55
6.38,450,10:56
6.39,210,10:57
6.38,106,10:58
6.4,632,10:59
6.39,205,11:00
6.38,130,11:01
6.38,26,11:02
6.39,28,11:03
6.39,43,11:04
6.39,0,11:05
6.37,270,11:06
6.37,12,11:07
6.38,3,11:08
6.38,92,11:09
6.38,3,11:10
6.37,36,11:11
6.38,4,11:12
6.38,56,11:13
6.38,4,11:14
6.37,16,11:15
6.38,5,11:16
6.38,188,11:17
6.39,80,11:18
6.38,67,11:19
6.38,51,11:20
6.4,182,11:21
6.38,60,11:22
6.38,66,11:23
6.38,8,11:24
6.39,11,11:25
6.38,284,11:26
6.38,32,11:27
6.38,47,11:28
6.39,57,11:29
6.37,13,11:30
6.36,584,13:01
6.35,13,13:02
6.35,76,13:03
6.38,366,13:04
6.41,2321,13:05
6.44,998,13:06
6.41,1996,13:07
6.43,517,13:08
6.42,1263,13:09
6.42,457,13:10
6.43,540,13:11
6.43,1150,13:12
6.45,306,13:13
6.42,974,13:14
6.41,63,13:15
6.42,157,13:16
6.42,199,13:17
6.42,227,13:18
6.4,42,13:19
6.4,78,13:20
6.39,32,13:21
6.4,141,13:22
6.4,0,13:23
6.38,317,13:24
6.38,41,13:25
6.37,149,13:26
6.37,28,13:27
6.38,244,13:28
6.38,7,13:29
6.39,8,13:30
6.38,54,13:31
6.38,17,13:32
6.37,106,13:33
6.37,20,13:34
6.37,7,13:35
6.38,184,13:36
6.38,20,13:37
6.38,48,13:38
6.37,9,13:39
6.37,63,13:40
6.37,128,13:41
6.37,355,13:42
6.37,460,13:43
6.37,2,13:44
6.37,72,13:45
6.36,8,13:46
6.36,453,13:47
6.36,5,13:48
6.37,42,13:49
6.36,596,13:50
6.38,2,13:51
6.35,58,13:52
6.37,7,13:53
6.35,61,13:54
6.35,16,13:55
6.36,32,13:56
6.36,57,13:57
6.35,454,13:58
6.35,80,13:59
6.36,107,14:00
6.34,1255,14:01
6.33,74,14:02
6.34,16,14:03
6.33,17,14:04
6.33,6,14:05
6.34,33,14:06
6.33,189,14:07
6.32,97,14:08
6.33,42,14:09
6.33,74,14:10
6.33,42,14:11
6.33,27,14:12
6.33,9,14:13
6.33,28,14:14
6.33,116,14:15
6.33,38,14:16
6.34,5,14:17
6.33,53,14:18
6.34,6,14:19
6.34,115,14:20
6.34,61,14:21
6.33,153,14:22
6.32,3,14:23
6.33,38,14:24
6.33,17,14:25
6.32,98,14:26
6.32,3,14:27
6.32,0,14:28
6.32,30,14:29
6.34,50,14:30
6.33,211,14:31
6.32,120,14:32
6.32,101,14:33
6.32,8,14:34
6.32,35,14:35
6.32,160,14:36
6.32,28,14:37
6.32,112,14:38
6.32,44,14:39
6.31,12,14:40
6.31,28,14:41
6.32,159,14:42
6.31,82,14:43
6.31,52,14:44
6.31,48,14:45
6.31,79,14:46
6.32,83,14:47
6.31,548,14:48
6.3,873,14:49
6.3,404,14:50
6.29,245,14:51
6.29,194,14:52
6.29,59,14:53
6.29,73,14:54
6.29,558,14:55
6.3,173,14:56
6.3,1324,14:57
6.3,0,14:58
6.3,0,14:59
6.28,383,15:00
