price,vol,time
3.51,7775,09:31
3.53,9920,09:32
3.53,7725,09:33
3.58,9997,09:34
3.56,11346,09:35
3.55,5965,09:36
3.54,6470,09:37
3.55,3865,09:38
3.54,4450,09:39
3.54,1164,09:40
3.55,4415,09:41
3.56,2412,09:42
3.57,5922,09:43
3.58,2529,09:44
3.56,6291,09:45
3.56,3662,09:46
3.55,1918,09:47
3.55,504,09:48
3.56,2984,09:49
3.56,4140,09:50
3.57,3862,09:51
3.56,2367,09:52
3.55,8773,09:53
3.54,3019,09:54
3.54,3273,09:55
3.55,1156,09:56
3.56,1452,09:57
3.55,1028,09:58
3.55,1400,09:59
3.56,1448,10:00
3.55,6186,10:01
3.55,600,10:02
3.54,588,10:03
3.53,739,10:04
3.53,2322,10:05
3.53,1011,10:06
3.53,1528,10:07
3.52,1260,10:08
3.51,2888,10:09
3.52,914,10:10
3.52,852,10:11
3.53,433,10:12
3.53,1152,10:13
3.53,883,10:14
3.53,713,10:15
3.52,186,10:16
3.53,163,10:17
3.53,184,10:18
3.52,1857,10:19
3.52,1172,10:20
3.51,610,10:21
3.52,1880,10:22
3.52,1732,10:23
3.52,569,10:24
3.53,575,10:25
3.52,169,10:26
3.52,269,10:27
3.52,1149,10:28
3.51,169,10:29
3.51,458,10:30
3.51,935,10:31
3.52,349,10:32
3.51,717,10:33
3.51,258,10:34
3.52,486,10:35
3.52,267,10:36
3.52,137,10:37
3.51,704,10:38
3.51,173,10:39
3.52,195,10:40
3.51,2309,10:41
3.51,746,10:42
3.5,1176,10:43
3.5,1337,10:44
3.5,1219,10:45
3.49,1173,10:46
3.5,1112,10:47
3.49,1465,10:48
3.48,1272,10:49
3.48,742,10:50
3.49,803,10:51
3.49,1393,10:52
3.5,118,10:53
3.5,269,10:54
3.49,130,10:55
3.5,71,10:56
3.49,138,10:57
3.5,571,10:58
3.49,271,10:59
3.5,3036,11:00
3.5,240,11:01
3.49,687,11:02
3.49,233,11:03
3.49,365,11:04
3.5,69,11:05
3.49,167,11:06
3.49,102,11:07
3.5,286,11:08
3.49,458,11:09
3.49,219,11:10
3.49,148,11:11
3.49,167,11:12
3.49,0,11:13
3.49,415,11:14
3.49,81,11:15
3.49,880,11:16
3.49,247,11:17
3.5,119,11:18
3.5,789,11:19
3.5,392,11:20
3.5,195,11:21
3.49,128,11:22
3.49,120,11:23
3.49,92,11:24
3.49,299,11:25
3.49,531,11:26
3.49,560,11:27
3.49,1058,11:28
3.49,215,11:29
3.5,248,11:30
3.49,924,13:01
3.5,1093,13:02
3.48,475,13:03
3.48,2364,13:04
3.48,416,13:05
3.48,200,13:06
3.48,362,13:07
3.48,643,13:08
3.48,190,13:09
3.48,257,13:10
3.48,91,13:11
3.49,672,13:12
3.48,270,13:13
3.49,622,13:14
3.49,249,13:15
3.48,888,13:16
3.49,40,13:17
3.48,356,13:18
3.49,1317,13:19
3.49,24,13:20
3.49,95,13:21
3.5,129,13:22
3.49,565,13:23
3.49,208,13:24
3.5,256,13:25
3.49,106,13:26
3.49,168,13:27
3.49,442,13:28
3.49,115,13:29
3.49,810,13:30
3.49,66,13:31
3.5,178,13:32
3.49,55,13:33
3.49,834,13:34
3.49,95,13:35
3.48,702,13:36
3.48,193,13:37
3.48,55,13:38
3.49,148,13:39
3.49,2546,13:40
3.48,915,13:41
3.48,142,13:42
3.49,154,13:43
3.48,105,13:44
3.49,550,13:45
3.49,770,13:46
3.48,429,13:47
3.5,5851,13:48
3.5,2279,13:49
3.5,58,13:50
3.49,713,13:51
3.49,483,13:52
3.49,160,13:53
3.5,140,13:54
3.49,138,13:55
3.49,295,13:56
3.48,3504,13:57
3.49,5163,13:58
3.49,741,13:59
3.49,402,14:00
3.49,645,14:01
3.48,182,14:02
3.48,162,14:03
3.49,101,14:04
3.48,197,14:05
3.48,514,14:06
3.48,155,14:07
3.48,87,14:08
3.48,177,14:09
3.48,930,14:10
3.48,113,14:11
3.48,449,14:12
3.48,192,14:13
3.49,451,14:14
3.49,468,14:15
3.48,4509,14:16
3.47,4056,14:17
3.47,730,14:18
3.47,1241,14:19
3.47,1186,14:20
3.47,1089,14:21
3.47,327,14:22
3.47,4394,14:23
3.47,886,14:24
3.47,214,14:25
3.47,221,14:26
3.47,154,14:27
3.47,479,14:28
3.48,123,14:29
3.48,394,14:30
3.47,242,14:31
3.47,194,14:32
3.47,435,14:33
3.47,649,14:34
3.47,1172,14:35
3.46,505,14:36
3.47,403,14:37
3.46,487,14:38
3.46,399,14:39
3.47,1223,14:40
3.46,3403,14:41
3.46,843,14:42
3.47,2303,14:43
3.47,485,14:44
3.48,119,14:45
3.47,571,14:46
3.48,198,14:47
3.47,668,14:48
3.48,3589,14:49
3.48,934,14:50
3.49,635,14:51
3.48,428,14:52
3.49,535,14:53
3.48,807,14:54
3.49,2731,14:55
3.5,4146,14:56
3.52,4047,14:57
3.5,34,14:58
3.5,0,14:59
3.51,6028,15:00
