price,vol,time
3.08,3663,09:31
3.07,1475,09:32
3.08,2756,09:33
3.08,3096,09:34
3.08,2840,09:35
3.07,1649,09:36
3.08,1471,09:37
3.08,818,09:38
3.07,1045,09:39
3.11,10325,09:40
3.1,1252,09:41
3.1,562,09:42
3.1,1587,09:43
3.1,687,09:44
3.11,737,09:45
3.1,757,09:46
3.08,1072,09:47
3.08,225,09:48
3.09,6,09:49
3.09,886,09:50
3.09,773,09:51
3.08,826,09:52
3.09,1137,09:53
3.08,897,09:54
3.08,1658,09:55
3.08,1852,09:56
3.07,87,09:57
3.08,1924,09:58
3.08,1473,09:59
3.1,2458,10:00
3.1,692,10:01
3.1,3099,10:02
3.1,520,10:03
3.1,4473,10:04
3.1,1577,10:05
3.11,8149,10:06
3.12,3975,10:07
3.12,1176,10:08
3.13,4956,10:09
3.12,1511,10:10
3.12,4037,10:11
3.12,4025,10:12
3.13,1223,10:13
3.12,861,10:14
3.12,847,10:15
3.12,1114,10:16
3.12,1452,10:17
3.12,1014,10:18
3.12,1681,10:19
3.11,421,10:20
3.11,421,10:21
3.12,257,10:22
3.12,299,10:23
3.12,1157,10:24
3.12,428,10:25
3.11,532,10:26
3.11,600,10:27
3.11,548,10:28
3.11,310,10:29
3.12,137,10:30
3.12,103,10:31
3.11,4400,10:32
3.12,529,10:33
3.11,797,10:34
3.11,144,10:35
3.11,1452,10:36
3.11,36,10:37
3.11,257,10:38
3.12,159,10:39
3.12,177,10:40
3.12,11,10:41
3.12,1651,10:42
3.12,171,10:43
3.13,1529,10:44
3.13,1459,10:45
3.12,632,10:46
3.12,252,10:47
3.12,335,10:48
3.11,2438,10:49
3.11,27,10:50
3.11,287,10:51
3.11,920,10:52
3.11,338,10:53
3.1,137,10:54
3.11,159,10:55
3.11,52,10:56
3.11,506,10:57
3.11,286,10:58
3.1,456,10:59
3.11,35,11:00
3.1,30,11:01
3.1,111,11:02
3.1,88,11:03
3.1,762,11:04
3.1,144,11:05
3.1,439,11:06
3.1,1604,11:07
3.1,503,11:08
3.1,95,11:09
3.11,134,11:10
3.11,66,11:11
3.11,1023,11:12
3.1,1483,11:13
3.1,182,11:14
3.1,128,11:15
3.1,501,11:16
3.1,134,11:17
3.11,48,11:18
3.11,420,11:19
3.11,8,11:20
3.11,62,11:21
3.11,2418,11:22
3.11,68,11:23
3.12,99,11:24
3.12,2132,11:25
3.12,75,11:26
3.11,1633,11:27
3.11,603,11:28
3.12,53,11:29
3.12,300,11:30
3.13,2733,13:01
3.12,1149,13:02
3.13,332,13:03
3.13,337,13:04
3.13,653,13:05
3.13,993,13:06
3.13,148,13:07
3.12,2218,13:08
3.13,1931,13:09
3.12,2748,13:10
3.13,1204,13:11
3.13,220,13:12
3.13,72,13:13
3.13,130,13:14
3.12,175,13:15
3.13,323,13:16
3.13,1265,13:17
3.12,545,13:18
3.12,1023,13:19
3.12,290,13:20
3.12,124,13:21
3.12,14,13:22
3.12,1314,13:23
3.12,150,13:24
3.12,3025,13:25
3.12,533,13:26
3.12,18,13:27
3.12,78,13:28
3.12,57,13:29
3.11,525,13:30
3.12,811,13:31
3.11,399,13:32
3.12,674,13:33
3.11,113,13:34
3.11,120,13:35
3.11,258,13:36
3.12,1420,13:37
3.11,106,13:38
3.12,52,13:39
3.12,564,13:40
3.12,479,13:41
3.12,68,13:42
3.11,542,13:43
3.11,840,13:44
3.12,1063,13:45
3.12,1488,13:46
3.12,288,13:47
3.12,74,13:48
3.13,1626,13:49
3.12,268,13:50
3.13,221,13:51
3.13,1438,13:52
3.12,1981,13:53
3.12,175,13:54
3.11,322,13:55
3.12,42,13:56
3.12,199,13:57
3.12,35,13:58
3.12,197,13:59
3.12,1150,14:00
3.12,847,14:01
3.12,556,14:02
3.12,262,14:03
3.12,76,14:04
3.12,240,14:05
3.12,92,14:06
3.11,114,14:07
3.12,181,14:08
3.11,943,14:09
3.1,3377,14:10
3.1,688,14:11
3.11,593,14:12
3.1,178,14:13
3.1,290,14:14
3.11,484,14:15
3.1,178,14:16
3.1,255,14:17
3.11,69,14:18
3.11,24,14:19
3.1,719,14:20
3.1,205,14:21
3.11,86,14:22
3.1,477,14:23
3.1,220,14:24
3.1,411,14:25
3.1,458,14:26
3.1,423,14:27
3.1,1087,14:28
3.1,311,14:29
3.1,446,14:30
3.1,869,14:31
3.1,78,14:32
3.11,324,14:33
3.1,3064,14:34
3.1,1484,14:35
3.11,121,14:36
3.11,10,14:37
3.1,173,14:38
3.11,63,14:39
3.1,465,14:40
3.1,3465,14:41
3.09,499,14:42
3.09,255,14:43
3.09,432,14:44
3.1,381,14:45
3.1,8634,14:46
3.09,3934,14:47
3.1,498,14:48
3.09,257,14:49
3.09,1109,14:50
3.09,307,14:51
3.09,422,14:52
3.09,436,14:53
3.09,1512,14:54
3.09,535,14:55
3.09,512,14:56
3.08,910,14:57
3.09,1,14:58
3.09,0,14:59
3.08,1040,15:00
