price,vol,time
6.82,724,09:31
6.74,761,09:32
6.73,603,09:33
6.72,1636,09:34
6.71,1194,09:35
6.72,868,09:36
6.69,2096,09:37
6.71,304,09:38
6.71,260,09:39
6.71,160,09:40
6.72,388,09:41
6.71,1021,09:42
6.74,348,09:43
6.73,386,09:44
6.73,169,09:45
6.72,148,09:46
6.72,179,09:47
6.71,242,09:48
6.71,332,09:49
6.71,367,09:50
6.71,113,09:51
6.71,438,09:52
6.7,186,09:53
6.7,178,09:54
6.69,381,09:55
6.68,409,09:56
6.7,229,09:57
6.68,361,09:58
6.69,102,09:59
6.69,235,10:00
6.7,51,10:01
6.7,118,10:02
6.7,305,10:03
6.71,83,10:04
6.7,369,10:05
6.69,249,10:06
6.69,192,10:07
6.69,10,10:08
6.69,61,10:09
6.69,38,10:10
6.7,83,10:11
6.7,47,10:12
6.7,164,10:13
6.7,85,10:14
6.71,50,10:15
6.7,1,10:16
6.7,13,10:17
6.69,69,10:18
6.69,233,10:19
6.7,176,10:20
6.69,29,10:21
6.69,575,10:22
6.69,212,10:23
6.69,85,10:24
6.7,30,10:25
6.69,414,10:26
6.69,79,10:27
6.69,212,10:28
6.69,117,10:29
6.7,230,10:30
6.7,8,10:31
6.69,269,10:32
6.69,40,10:33
6.69,28,10:34
6.69,374,10:35
6.68,95,10:36
6.68,21,10:37
6.68,89,10:38
6.68,82,10:39
6.69,73,10:40
6.69,334,10:41
6.68,144,10:42
6.67,842,10:43
6.66,731,10:44
6.65,863,10:45
6.65,690,10:46
6.65,201,10:47
6.65,61,10:48
6.67,244,10:49
6.67,10,10:50
6.67,39,10:51
6.66,134,10:52
6.67,207,10:53
6.67,77,10:54
6.68,248,10:55
6.67,59,10:56
6.67,19,10:57
6.67,79,10:58
6.67,69,10:59
6.67,13,11:00
6.66,323,11:01
6.66,32,11:02
6.67,60,11:03
6.66,7,11:04
6.68,176,11:05
6.68,32,11:06
6.66,323,11:07
6.66,23,11:08
6.66,138,11:09
6.66,139,11:10
6.65,50,11:11
6.65,302,11:12
6.65,114,11:13
6.65,132,11:14
6.64,665,11:15
6.64,71,11:16
6.64,123,11:17
6.64,25,11:18
6.64,18,11:19
6.64,80,11:20
6.64,137,11:21
6.65,26,11:22
6.65,40,11:23
6.65,82,11:24
6.65,51,11:25
6.65,71,11:26
6.64,211,11:27
6.64,75,11:28
6.63,989,11:29
6.62,527,11:30
6.62,579,13:01
6.62,127,13:02
6.62,68,13:03
6.62,42,13:04
6.62,119,13:05
6.62,210,13:06
6.62,34,13:07
6.63,216,13:08
6.64,91,13:09
6.64,1,13:10
6.63,86,13:11
6.63,66,13:12
6.63,4,13:13
6.65,1297,13:14
6.65,91,13:15
6.64,7,13:16
6.64,0,13:17
6.65,57,13:18
6.64,157,13:19
6.63,92,13:20
6.63,238,13:21
6.64,50,13:22
6.64,0,13:23
6.63,207,13:24
6.62,398,13:25
6.63,136,13:26
6.63,174,13:27
6.61,1884,13:28
6.62,176,13:29
6.62,105,13:30
6.62,109,13:31
6.6,1386,13:32
6.61,1009,13:33
6.61,126,13:34
6.62,18,13:35
6.63,79,13:36
6.63,1,13:37
6.62,222,13:38
6.62,2,13:39
6.61,206,13:40
6.63,146,13:41
6.62,206,13:42
6.63,154,13:43
6.63,98,13:44
6.62,366,13:45
6.63,101,13:46
6.62,316,13:47
6.61,36,13:48
6.61,11,13:49
6.62,8,13:50
6.62,208,13:51
6.64,60,13:52
6.62,35,13:53
6.62,2,13:54
6.62,211,13:55
6.62,43,13:56
6.64,28,13:57
6.63,411,13:58
6.63,0,13:59
6.62,68,14:00
6.62,183,14:01
6.62,0,14:02
6.62,7,14:03
6.62,243,14:04
6.62,86,14:05
6.63,428,14:06
6.64,109,14:07
6.64,59,14:08
6.63,40,14:09
6.64,31,14:10
6.66,3090,14:11
6.67,102,14:12
6.67,108,14:13
6.66,256,14:14
6.65,53,14:15
6.65,78,14:16
6.65,37,14:17
6.64,22,14:18
6.64,28,14:19
6.63,2,14:20
6.66,416,14:21
6.66,46,14:22
6.66,149,14:23
6.64,820,14:24
6.64,17,14:25
6.65,36,14:26
6.64,502,14:27
6.64,9,14:28
6.64,3,14:29
6.64,100,14:30
6.64,52,14:31
6.65,14,14:32
6.64,123,14:33
6.64,212,14:34
6.63,28,14:35
6.62,331,14:36
6.62,81,14:37
6.62,381,14:38
6.62,346,14:39
6.62,148,14:40
6.62,291,14:41
6.61,66,14:42
6.62,33,14:43
6.62,203,14:44
6.62,64,14:45
6.61,85,14:46
6.61,61,14:47
6.61,27,14:48
6.62,152,14:49
6.6,893,14:50
6.61,322,14:51
6.61,212,14:52
6.6,76,14:53
6.6,687,14:54
6.6,119,14:55
6.6,147,14:56
6.61,525,14:57
6.61,85,14:58
6.61,0,14:59
6.59,1250,15:00
